sr no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
1,140,16,1011,0,2,62.6,5,13,7,21.13
2,123,18,1010.8,0,4,49.2,6,16,9,22.2
3,110,19,1010.7,0,6,38.8,8,6,12,22.7
4,105,17,1010.7,0,8,34.6,9,26,13,23.13
5,100,18,1010.6,0,10,33.7,9,22,15,23.33
6,102,19,1010.6,0,12,33.6,10,25,16,23.5
7,100,17,1010.6,0,14,33.5,11,27,19,23.6
8,100,15,1010.5,0,16,34.2,11,13,17,23.3
9,101,18,1010.4,0,18,35,12,27,19,23.09
10,99,16,1010.3,0,20,35.9,14,13,22,22.84
11,99,17,1010.3,0,22,36.5,12,17,20,22.63
12,96,18,1010.3,0,24,37.3,10,13,15,22.37
13,98,22,1010.3,0,26,38.1,10,8,17,22.1
14,97,15,1010.3,0,28,39.1,9,19,20,21.72
15,95,18,1010.2,0,30,39.8,12,22,20,21.63
16,87,16,1010.2,0,32,40.9,9,13,14,21.26
17,88,16,1010.2,0,34,41.8,9,14,15,21.01
18,95,14,1010.1,0,36,42.2,10,17,17,20.89
19,100,17,1010.1,0,38,43.2,10,21,16,20.58
20,97,15,1010,0,40,44,10,7,16,20.34
21,83,16,1010.1,0,42,45.1,8,18,12,20.09
22,80,19,1010.1,0,44,45.7,8,16,13,19.98
23,86,14,1010,0,46,46.3,8,18,13,19.85
24,93,14,1009.9,0,48,46.7,8,9,13,19.75
25,93,16,1009.9,0,50,47.4,7,21,12,19.53
26,93,14,1009.8,0,52,47.5,7,24,10,19.6
27,86,11,1009.8,0,54,48.2,7,16,10,19.34
28,90,11,1009.6,0,56,48.6,8,21,11,19.24
29,89,12,1009.5,0,58,48.9,8,27,12,19.19
30,86,11,1009.4,0,60,49.3,8,7,11,19.09
31,88,17,1009.3,0,62,49.6,6,13,9,18.99
32,95,15,1009.4,0,64,50.3,4,19,7,18.82
33,92,14,1009.3,0,66,50.7,5,18,9,18.8
34,91,11,1009.2,0,68,51.2,8,19,12,18.61
35,86,10,1009.2,0,70,51.4,10,6,12,18.55
36,85,10,1009.2,0,72,52.3,8,18,11,18.28
37,82,11,1009,0,74,53.1,8,11,11,18.1
38,72,12,1009,0,76,53.2,8,19,12,18.09
39,70,13,1009,0,78,53.5,9,15,13,18.01
40,71,15,1009.1,0,80,54,9,12,16,17.87
41,73,14,1009.2,0,82,54,10,8,15,17.83
42,74,14,1009.2,0,84,54.5,11,19,16,17.66
43,73,16,1009.3,0,86,55.4,9,27,14,17.43
44,66,15,1009.4,0,88,56,8,24,12,17.38
45,61,13,1009.5,0,90,56.9,7,33,11,17.15
46,62,13,1009.5,0,92,57.2,7,33,11,17.16
47,66,14,1009.6,0,94,56.9,8,61,12,17.25
48,78,15,1009.5,0,96,55.9,10,60,16,17.51
49,78,13,1009.6,0,98,55.6,11,70,16,17.58
50,77,15,1009.6,0,100,55.6,11,76,19,17.6
51,75,15,1009.6,0,102,55.1,11,95,17,17.79
52,75,15,1009.5,0,104,55.1,9,196,16,17.93
53,80,13,1009.4,0,106,52.6,11,268,16,18.86
54,80,15,1009.4,0,108,50.7,12,333,18,19.34
55,77,15,1009.3,0,110,45.2,10,307,16,19.85
56,73,16,1009.3,0,112,43.5,9,399,16,20.37
57,74,16,1009.3,0,114,46.5,10,431,17,20.95
58,75,19,1009.3,0,116,45.6,9,450,15,21.3
59,72,16,1009.3,0,118,45.7,11,488,16,21.62
60,69,17,1009.3,0,120,44.7,9,523,14,22.31
61,73,16,1009.2,0,122,43.3,9,567,13,22.86
62,82,15,1009.1,0,124,41.1,9,593,13,23.56
63,78,14,1009,0,126,40.1,10,645,15,23.65
64,75,20,1008.9,0,128,39.8,9,672,15,24.53
65,70,21,1008.7,0,130,38.4,9,685,15,25.07
66,85,17,1008.5,0,132,38,9,735,13,25.38
67,78,20,1008.3,0,134,36.6,9,772,13,25.9
68,76,19,1008.3,0,136,35,8,757,14,26.62
69,71,16,1008,0,138,35,9,673,12,26.99
70,63,16,1007.9,0,140,34.5,9,786,14,26.49
71,70,24,1007.7,0,142,33.8,8,591,13,27.72
72,71,20,1007.6,0,144,33.4,8,913,12,27.67
73,69,23,1007.3,0,146,33.1,8,889,12,28.57
74,81,20,1007.2,0,148,32.2,8,939,11,29.16
75,96,18,1007.1,0,150,31,8,664,11,29.19
76,75,20,1007,0,152,31.2,8,667,11,29.36
77,73,21,1006.9,0,154,29.6,7,990,10,30.01
78,84,26,1006.8,0,156,28.9,6,1031,11,30.97
79,53,22,1006.7,0,158,27.8,6,927,10,31.16
80,91,59,1006.4,0,160,27.3,5,1073,9,31.36
81,79,28,1006.1,0,162,27.9,6,1082,9,32.24
82,102,24,1005.9,0,164,26.8,6,1090,8,32.45
83,156,92,1005.8,0,166,26.1,5,919,8,32.41
84,51,21,1005.6,0,168,24.2,6,876,11,32.93
85,61,24,1005.5,0,170,24.9,5,700,8,32.84
86,270,76,1005.4,0,172,25,4,592,5,33.15
87,74,32,1005.2,0,174,24.7,5,733,7,33.35
88,61,53,1005.1,0,176,24.8,4,754,8,33.28
89,127,60,1004.9,0,178,24.4,4,1048,9,33.45
90,113,31,1004.8,0,180,23,5,869,7,33.9
91,119,50,1004.8,0,182,21,5,1027,8,34.58
92,220,45,1004.7,0,184,25.1,4,1034,7,34.79
93,255,37,1004.6,0,186,27.5,7,1007,13,33.73
94,260,34,1004.6,0,188,27.5,8,996,11,33.92
95,270,29,1004.5,0,190,28.1,8,1048,11,33.49
96,244,38,1004.4,0,192,26.7,7,775,11,32.96
97,269,25,1004.3,0,194,27,7,570,11,33.07
98,271,32,1004.3,0,196,28.4,8,660,12,32.69
99,264,30,1004.3,0,198,31,8,771,15,32.5
100,262,28,1004.2,0,200,29.6,8,716,12,32.71
101,329,46,1004.2,0,202,29.8,6,495,11,31.46
102,203,101,1004.1,0,204,30.8,7,938,11,31.87
103,205,85,1004,0,206,33.5,6,875,12,32.07
104,236,36,1004,0,208,31.5,8,837,12,31.32
105,233,39,1003.9,0,210,33.2,7,823,10,30.83
106,226,46,1003.8,0,212,34.6,7,728,10,29.97
107,313,107,1003.9,0,214,40.8,8,363,12,28.86
108,240,39,1004,0,216,40.8,9,375,16,27.85
109,242,31,1004,0,218,44.7,10,463,15,27.53
110,237,40,1004,0,220,49.1,7,464,12,27.11
111,123,83,1004,0,222,46.7,9,585,14,27.36
112,237,31,1003.9,0,224,43.3,9,545,14,27.91
113,233,35,1003.7,0,226,42.4,8,474,13,27.64
114,25,83,1003.7,0,228,41.5,8,428,13,27.46
115,194,101,1003.7,0,230,44.2,7,391,12,27.05
116,216,36,1003.7,0,232,43.3,6,369,10,26.84
117,219,36,1003.8,0,234,46.9,7,328,11,26.29
118,215,40,1003.9,0,236,47.2,6,286,10,26.48
119,209,86,1003.9,0,238,51.6,7,253,11,25.38
120,221,39,1004,0,240,53.8,7,229,12,25.15
121,220,31,1004,0,242,56.1,6,180,11,24.97
122,226,33,1004.1,0,244,56.4,6,143,11,24.91
123,230,31,1004.1,0,246,58.3,6,115,10,24.55
124,227,28,1004.3,0,248,60.3,6,70,8,24.24
125,220,24,1004.4,0,250,61.3,4,46,8,23.96
126,165,77,1004.5,0,252,62.4,5,29,7,23.61
127,229,25,1004.7,0,254,61.4,5,28,8,23.27
128,225,33,1004.7,0,256,58.6,6,16,11,23.06
129,326,60,1004.7,0,258,60.9,6,27,11,22.73
